ISTILAH	KEPANJANGAN	PENGERTIAN	DEPARTEMEN	CARA PERHITUNGAN DAN KETERANGAN LAINNYA ( JIKA ADA)																			
Internal Dispute Resolution		Musyawarah melalui penanganan keluhan internal jika timbul perselisihan atau sengketa antar pihak terkait	HC IR																				
Insentif		Bentuk imbal jasa yang diberikan berdasarkan prestasi	HC PCBM																				
installment 		pembayaran/cicilan	Sales																				
insu tenor	insurance tenor	jumlah taun penggunaan asuransi 	sales																				
Insurance Management		memastikan hal yang beresiko sudah diasuransikan	RISK POL																				
Insurance Universe		memonitor dan melihat jumlah biaya asurans dan preminya	Underwriting																				
Integrity		Salah satu value ACC : Berani mentaati peraturan berlandaskan asas dan etika yang berlaku serta menunjukkan sikap profesional dan bertanggung jawab	HC OD																				
INTERNAL AAB	Asuransi Internal AAB	Pembayaran asuransi AAB melalui ACC	Service																				
Internal Audit	Internal AUdit	pihak-pihak auditor yang melakukan audit terhadap proses-proses bisnis yang ada di dalam ACC	Internal Audit																				
INV	Inventory	Unit sudah masuk ke Inventory	AR																				
inv acct	inventory account	flag deskripsi account inventory atau tidak untuk bulan sekarang 	AR																				
Inventory officer	Inventory Officer	pihak-pihak yang bertanggungjawab atas pengelolaan kendaraan tarikan	Service																				
INVS	Inventory Selling	Unit Inventory yang sudah berhasil dilelang	AR																				
IOH	Inventory On Hand	"Mobil-mobil yang 
terdapat di pool 
sampai saat ini"	Service																				
IPK	Ikatan Pemuda Karya	Organisasi Massa yang merupakan himpunan pemuda, pekerja, pelajar, dan mahasiswa yang dilatarbelakangi kekaryaan serta menjunjung tinggi UUD 1945 dalam visi-misinya. IPK didirikan oleh Kakanda Olo Panggabean di Medan, 28 Agustus 1969. Ketua umum IPK saat ini, Budi Panggabean. 	REMO	Ormas																			
IR	Instalment Ratio	Nilaiuntuk perbandingan antara penghasilan dari borrower dengan nilai angsuran	Sales																				
ISO	Isuzu Sales Operation	Dealer direct yang bekerjasama langsung dengan ACC dalam penjualan unit brand Isuzu	SALES																				
i-std	interest standard	Bunga standar dari perusahaan yang dapat dijual oleh sales dengan batas minimum tertentu	SALES																				
ITO	Inventory Turnover	Perputaran inventory yg masuk dengan yang keluar	Service	IOH/ Unit yang dijual atau ditebus																			
ITO	inventory turn over	Perbandingan mobil yang keluar pool (ditebus, lelang) dengan mobil yang masuk pool	Service																				
ITQC	Intergrity, Teamwork, Quality, Customer Satisfaction	Corporate Values ACC yang menjadi pedoman dalam menjalankan aktivitas bisnisnya	HC LM																				
Jateng	Jawa Tengah	Coverage Area ACC di Pulau Jawa bagian Tengah	umum																				
Jatim	Jawa Timur	Coverage Area ACC di Pulau Jawa bagian timur	umum																				
JB	Janji Bayar	Janji yang diberikan oleh customer setelah overdue	AR																				
JD Toyota	Johny Darmawan Toyota	Dealer rekanan Astra yang dimiliki oleh Bp Johny Darmawan	umum																				
JF	Join Finance	kesepakatan pembiayaan antara bank dengan ACC untuk membiayai AF	RISK POL																				
JLDP	Junior Leadership Development Program	Program leadership yang didedikasikan untuk menciptakan karyawan astra di level coordinator management dari sumber karyawan eksternal	HC LM																				
JP	Join Promo	Dealer mengajukan proposal untuk support pameran/ event kepada cabang. Support Dealer berupa Dana. 	Sales 																				
Jual putus		Mobil dijual ke makelar,dan makelar menjual ke orang lain	AR																				
juklak 	petunjuk pelaksanaan	suatu modul yang memberikan petunjuk kegunaan atau petunjuk pengoperasian	umum																				
Kabeng	Kepala Bengkel	Salah satu posisi dalam struktur Astra direct baik TSO, DSO, atau ISO. Bertanggung jawab penuh terhadap semua kegiatan di bengkel, termasuk administrasi dan bertanggung jawab langsung ke kepala cabang.	Sales																				
Kabinet		Tempat penyimpanan dokumen kontrak	Underwriting																				
Karoseri	Karoseri	rumah-rumah kendaraan yang dibangun di atas rangka/chasis mobil atau chasis khusus bus ataupun truk.	Sales																				
KTP	Kartu Tanda Penduduk	Kartu bukti bahwa customer terdaftar sbg penduduk Indonesia	Underwriting																				
Kartu Pelanggan		Kartu yang didapat oleh customer ketika aplikasi pengajuan kreditnya telah go live. Kartu ini berisi no langganan dan nama customer yang nantinya akan digunakan saat pembayaran angsuran	Service																				
Kategori E,K,O	Extravaganza, Kurang Bagus, Oh My God	Kategori mobil dalam multiguna yang dibagi menjadi 3 E(fast moving), K(Fast-slow), O (slow moving)	Sales																				
KD Delaer	Kode dealer	Kode yang diberikan kepada dealer dalam sistem 	Sales																				
Kembang Latar	Komunikasi Masyarakat Membangun Lapisan Terbawah	Organisasi Massa yang berlatar belakang etnis/kesukuan dengan mayoritas anggotanya warga keturunan Betawi. Ketua umumnya saat ini Bahyuddin.	REMO	Ormas																			
Kertas kuning		Kertas PPJF	Underwriting																				
KEUR	KEUR	Tanda Layak Jalan bagi kendaraan komersial. Wajib ada ketika melakukan taksasi.	Sales 																				
KHM	Ketentuan Hidup Minimum	Standar ketentuan hidup minimun debitur (customer) yang ditetapkan ACC yang digunakan untuk referensi dalam menganalisa kondisi keuangan customer 	Underwriting																				
KIBAS		Reward yg diberikan untuk ARRH, ARMH, REMO, RMC	AR																				
kind		Salah satu jenis kendaraan seperti 1 TON MB, 1 TON PU	Sales																				
KIPEM	Kartu Identitas Penduduk Musiman	Kartu yang berlaku bagi penduduk pendatang yang berfungsi seperti KTP, misal untuk membuka rekening bank, membuat SIM, atau mengambil kredit. Berlaku selama 3 bulan dan dapat diperpanjang.	Service																				
KIR		Pengujian kendaraan bermotor khususnya pada unit-unit komersil.	Sales																				
KITAP	Kartu Iijn Tinggal Tetap	kartu yang diperlukan untuk WNA sebagai salah satu syarat kredit mobil	Underwriting																				
KITAS	Kartu Ijin Tinggal Sementara	kartu ijin tetap sementara	Underwriting																				
KLIRING		Proses pencairan GIRO	Service																				
Kliring Giro		Mengantarkan slip giro/check ke bank setiap harinya untuk di cairkan.	Service																				
KMK	Kredit Modal Kerja	Kategori pembiayaan untuk modal kerja	Fleet																				
Komite kredit	Komite kredit	Semua pihak yang berwenang menilai kelayakan kredit	Underwriting																				
KOSGORO	Kesatuan Organisasi Serbaguna Gotong Royong	Kosgoro merupakan ormas yang menjadi salah satu KINO (Kelompok Induk Organisasi) bersama SOKSI dan MKGR yang mendirikan partai Golkar. Saat ini ormas Kosgoro memiliki banyak sayap ormas, salah satunya AMPG yang diketuai oleh Yorrys Raweyay. Ketua Kosgoro sendiri saat ini adalah Agung Laksono.	REMO	Ormas																			
KPI	Key Performance Indicator	Persentase target minimal yang harus dicapai oleh Cabang dan Individu untuk mendapatkan sales yang baik dan mendapatkan insentif	HC OD																				
KPMR	Kualitas Penilaian resiko	menilai resiko- resiko dan mencocokan sesuai dengan visi misi perusahaan	RISK POL																				
Kreditur		Pihak yang memberikan kredit	Operation																				
Kremo	Kredit Memo	semua informasi yang dibutuhkan dalam kebutuhan ringkas menentukan keputusan status approval/reject	AR																				
K-S	Kolmogorov-Smirnov	Merupakan suatu alat statistik untuk mereview model scoring di MIS	RISK MIS																				
KSJ	Kendaraan Siap Jual	Kendaraan inventory yang sudah siap dijual	Service																				
KTP	Kartu Tanda Penduduk	Salah satu syarat untuk mengajukan kredit	Underwriting																				
Kurir		Pihak eksternal yang membantu proses pengiriman kontrak kepada customer	Underwriting																				
Kwitansi blanko		kwitansi yang ditanda tangani customer yang diserahkan kepada ACC sebagai persyaratan pengambilan BPKB oleh ACC ke dealer	Service																				
Kwitansi DP	Kwitansi Down Payment	Kwitansi DP yang telah dibayarkan oleh customer	Underwriting																				
Kwitansi Pelunasan	Kwitansi Pelunasan	Kwitansi yang berisi jumlah pelunasan yang akan dibayarkan ACC kepada dealer	Underwriting																				
L9MV	Last 9 Month Valid	Total valid selama 9 bulan terakhir	Sales	Jumlah Valid dari 9 bulan terakhir																			
Lapju	Laporan Kunjungan	Laporan yang dibuat ARHO dan ARRO setelah kunjungan mengenai hasil kunjungan 	AR																				
Lapping angsuran		Melakukan tindakan penggelapan angsuran	Service																				
LAPS	Lembaga alternatif penyelesaian sengketa	Suatu lembaga dimana bertugas menyelesaikan permasalahan terkait sengketa	umum																				
Laskar Bali	Laskar Bali	Salah satu ormas terbesar di Bali yang sering berseteru dengan Baladika. Menjalankan bisnis pengamanan pada tempat-tempat wisata di Bali. Jasa ormas terutama pada level korlap sering digunakan untuk menjadi PEOJF. Beberapa officer di AR juga menjadi bagian dari ormas ini. Saat ini diketuai oleh Gung Suma.	AR																				
LB	Laskar Bali	Organisasi Massa yang berlatar belakang etnis/kesukuan dengan mayoritas anggotanya warga keturunan Bali. Saat ini ketua umumnya, Gung Alit.	REMO	Ormas																			
LC	Late Charge	Biaya yang muncul apabila customer terlambat melakukan pembayaran lewat dari tanggal jatuh tempo, nilainya selalu sama setiap bulan.	AR	Rp. 20.000 per bulan																			
LCV	Like comercial vehicle 	istilah untuk mobil-mobil yang digunakan untuk transportasi sehari-hari	sales																				
LDP	Leadership Development Program	Program pengembangan sumber daya manusia sebagai calon leader	HC LM																				
LEASEBACK		Menjaminkan asset yang sudah ada	Sales																				
Legend		Keterangan yang dilampirkan dalam setiap report maupun project	umum																				
lensacc		Official akun instagram yang dimiliki ACC untuk menjangkau para pengguna sosial media (instagram)	umum																				
LGD	Lost Given Default	estimasi loss yang terjadi dihitung berdasarkan MRP	RISK MIS																				
LHK 	Laporan kunjungan harian	rekapan data kunjungan harian yang digunakan untuk memantau kinerja ARHO 	AR																				
Liabilities		Total nilai hutang perusahaan	Finance																				
Litigasi		Bagian Hukum dari ACC apabila ada kasus atau masalah yang terkait dengan hukum	Litigasi																				
LK	Luar kota	Wilayah yang berada dalam jarak lebih dari 60 Km dari Kantor ACC terdekat	AR	LK 1 = jarak 60 - 120 Km, LK 2 = jarak 120-180 km dari kantor acc terdekat																			
LKNB	Lembaga Keuangan Non Bank	Bentuk badan usaha yang tidak termasuk dalam klasifikasi bank namun masih di bawah naungan OJK	umum																				
LM	Last month		AR																				
LMI	Laskar Manguni Indonesia	Organisasi Massa yang berlatar belakang etnis/kesukuan dengan mayoritas anggotanya warga keturunan Minahasa. Saat ini ketua umunya Pdt. Hanny Pantouw.	REMO	Ormas																			
LMPI	Laskar Merah Putih Indonesia	Organisasi Massa yang didirikan oleh Edi Hartawan. Saat ini ketua umumnya Mayjend. Stamsu Djalal, S.H.,M.H.	REMO	Ormas																			
Loan & Bonds		Hutang bank dan obligasi perusahaan	Finance																				
Loan detail		Detail perhitungan pembiayaan kepada customer	Sales																				
LOI	Letter Of Intent	Surat yang menunjukkan adanya persetujuan kredit	Fleet Marketing																				
LOR	Loss On Reposition	Loss ketika unit ditarik dan dijual	Fleet	Nilai inventory-harga jual- biaya rekondisi - biaya yang lainnya. Terjadi jika nilai jual > biaya lelang																			
LOR BOOKING		LOR penjualan sebuah cabang yang ada di wilayah penanganan cabang lain	AR																				
LOR HANDLING		LOR yang ada dalam wilayah penanganan cabang sediri	AR																				
Low level process		Gambaran proses kerja yang merupakan penjabaran dari SIPOC	HC LM																				
LP	Laporan polisi	Aduan yang dibuat kepada pihak berwajib atas suatu kasus tertentu.	AR																				
LS	Leasing	Jenis perjanjan kredit sewa guna usaha	Sales																				
LTKM	Laporan Transaksi Keuangan Mencurigakan	Laporan jika terjadi transaksi mencurigakan yang dapat merugikan keuangan negara (Money Loundry)	Litigasi																				
LTKT	Laporan Transaksi Keuangan Tunai	Laporan jika didapati pembayaran / pelunasan lebih dari 500 juta secara langsung	Litigasi																				
LU	Lama usaha	Lama usaha seseorang (untuk wiraswasta)	Underwriting																				
Luxury Car		Unit dengan jumlah AF yang melebihi >500. Aproval harus sampai dengan COO	Underwriting																				
Mailing History		Menu di dalam AOL untuk melihat history pengiriman surat	AR																				
Maker	Masa Kerja	Lama kerja seseorang di suatu perusahaan 	Underwriting																				
MAL	Meeting Action Log	Tool monitoring di deskcoll	AR																				
Mandatory Data	Mandatory Data	Data yang wajib dilengkapi oleh customer sebagai persyaratan pengajuan kredit	Underwriting																				
MAPANCAS	Masyarakat Pancasila Sakti	Organisasi Massa yang merupakan sayap daripada ormas PP. Organisasi Massa ini bersifat dependen, atau tergantug, atau mengikuti komando dari ketua umum Pemuda Pancasila.	REMO	Ormas																			
Marcom	Marketing Communication	Sarana yang digunakan perusahaan dalam upaya untuk menginformasikan, dan meningkatkan konsumen langsung atau tidak langsung tentang produk yang perusahaan jual	Marketing Support	Marcom yang ada di ACC yaitu 1. Merchandise 2. Desain																			
Marex	Marketing Exception	Keterangan data perhitungan kredit (bunga, tenor, rate asuransi, dan unit) untuk pengambilan keputusan kredit di jalur marketing	Sales																				
Market Booking ACC		Ruang lingkup pasar yang menjadi booking ACC	Operation																				
Matel	Mata elang	Pihak eksternal yang bekerja sama dengan ACC dalam mencari kendaraan yang raib maupun WO	AR																				
MCS	Management Control System	Proses yang digunakan oleh managemen dalam merencanakan dan mengontrol aktivitas organisasi, serta memastikan semua sumberdaya bekerja secara efektif dan efisien untuk mencapai tujuan perusahaan	MCS																				
MD	Mutasi Debit	perpindahan dana keluar dari rekening customer	Underwriting																				
MDE	Minimum Data Entry	Minimun Data yang harus di entry oleh SUW. Yaitu data borrower, Loan Detail, Bisnis borrower dan Present co. 	Sales 																				
MDOP	Minimum Data Entry Open	Proses input data customer sebelu pre analisa	Underwriting																				
merek		Salah satu jenis kendaraan seperti avanza, xenia	Sales																				
MES	Meeting Effectivenes Scoring	Tool monitoring di deskcoll 	AR																				
Messenger		Pihak yang bertanggung jawab untuk kepentingan pengantaran ACC	Service																				
MGM	Member Get Member	Program Reward yang diberikan untuk customer ACC yang mereferensikan produk c2c financing	Sales																				
MI	Marketing INtelligence	Pihak-pihak dari departemen Marketing planning & control yang menggali informasi dari pesaing (data kompetitor)	Marketing Planning & Control																				
Minuta		Bukti sementara yang diserahkan oleh notaris ke ACC sebagai bukti proses pembuatan fidusia (AJF/SJF), dan akan ditukar / diambil kembali setelah fidusia selesai	Underwriting																				
MIS	Management Information system	pengelola data di RISK	RISK MIS																				
Mistery shopper		Pihak diluar ACC yang dimintakan perbantuan nya untuk memberikan penilaian kepada pelayanan yang diberikan ACC	Service																				
Mitigasi		Merupakan suatu bentuk pencegahan atas suatu risiko yang berpotensi memberikan dampak negatif	RISK MIS																				
Mitra ACC		Pihak yang bekerjasama dengan ACC ( bukan termasuk karyawan  dalam hal mencari aplikasi multiguna	Sales																				
MK	Mutasi Kredit	Aliran dana masuk yang dimiliki customer	Underwriting																				
MOB	Month of Booking	bulan berjalan dari waktu golive/ valid	RISK MIS																				
MOCA	Mobile Collection	Aplikasi untuk AR area BPR, denan sudah menggunakan gadget dan online	AR																				
Moduler		Modul-modul yang digunakan untuk pelatihan dan training user dan harus terupdate dalam jangka waktu tertentu (dalam periode)	HC LM																				
MORNING BRIEFING	 Pengarahan seluruh man power di pagi hari	Pengarahan dan istruksi kerja yang diberikan oelh head departemen untuk seluruh komponen man power sebagai acuan kegiatan yang akan dilakukan pada hari itu	Underwriting (SUW)																				
Morning huddle		Kegiatan yang dilakukan setiap harinya di cabang untuk menjabarkan target harian, kendala-kendala, maupun memberikan semangat dan motivasi	MCS																				
MPE	Man Power Existing	Jumlah sumber daya manusia yang ada sekarang	HC OD																				
MPKT	Memo Pengeluaran Kendaraan Tarikan	Dokumen yang berisi tentang pemberitahuan dan atau perintah kepada petugas jaga pool untuk melakukan pengeluaran dan atau penyerahan kendaraan tarikan	Service																				
MPP	Man Power Plan	Perencanaan sumber daya manusia	HC OD																				
MRES		Kontrak yang di reschedule akan berubah statusnya menjadi MRES	AR																				
MRP	Market Retail Price	Harga pasar yang digunakan sebagai acuan untuk menjual unit	National Remarketing																				
MSCP	Market Share to Credit Portion	Membandingkan share yang didapatkan dengan sesama perusahaan pembiayaan yang dimiliki delaer	Sales	Tambahin cara perhitungan																			
MSCP	Market Share Credit Portion	Membandingkan share yang didapatkan dengan sesama perusahaan pembiayaan yang dimiliki delaer	Sales	MSCP = DO ACC / DO kredit																			
MSCP OTHERS		Bersarnya porsi kredit yang dimiliki kompetitor ACC	Sales 																				
MSTA	Market Share To Astra	rasio jumlah pernjualan unit ACC dengan Unit Astra	Sales	unit ACC/ unit Astra																			
MSTM	Market Share To Market	rasio jumlah penjualan unit ACC dengan Pasar (ALL)	Sales	unit ACC/ Unit Market(all)																			
MSTR	Market Share To Retail	Membandingkan share yang didapatkan dengan keseluruhan penjualan delaer yang menggunakan pembiayaan dan cash	Sales	Valid ACC/DO (Credit & Cash)																			
MT	Management Trainee	Program leadership yang didedikasikan untuk menciptakan karyawan astra di level head management dari sumber karyawan eksternal	HC LM																				
MTD	Month to Date	Rekapitulasi productivity bulanan	Underwriting																				
Multiguna		Salah satu lini brand acc untuk pembiayaan kembali dengan menjaminkan BPKB ke ACC	Sales																				
Multikontrak	Multikontrak	Customer yang dalam satu masa kredit memiliki lebih dari 1 kontrak	Underwriting																				
Murabahah		asas hukum Islam/syar'i yang diterapkan dalam perjanjian pembiayaan kredit berbasis syariah (ACC Syariah)	Underwriting																				
MX CL	Marex Close	Status aplikasi pada sistem yang menerangkan aplikasi sudah selesai melalui proses approval marketing	Underwriting																				
MX OP	Marex Open	Status aplikasi pada sistem yang menerangkan aplikasi masuk melalui jalur approval marketing	Underwriting																				
Mystery Call		taktik yang digunakan oleh marketing intellegence untuk mendapatkan informasi dari CSO competitor, contoh : presentase rate dan asuransi	Marketing Planning & Control																				
Mystery Shopper		taktik yang digunakan oleh marketing intellegence dengan cara kunjungan ke dealer sebagai customer dan mendapatkan informasi	Marketing Planning & Control																				
N/A	Not Avaliable	Kondisi ketika data tidak tersedia	umum																				
Naik Banding		Upaya yang dilakukan oleh marketing untuk mengubah keputusan operational dengan memenuhi berbagai persyaratan tertentu	Underwriting (SUW)																				
Nama Funding		Perusahaan yang memberikan pembiayaan dalam kredit tersebut	Sales																				
NASA	Nasional Satu Account	Penggabungan account rekening se nasional untuk kebutuhan transaksi via rekening	Service																				
NBM	Nilai Benefit Maksimal	Nilai refund maksimal yang diberikan ACC kepada dealer setiap aplikasi	Sales	15% x Total Pendapatan																			
NCI	Nett Cash In	Pendapatan bersih yang didapat dari pembayaran customer yang sudah dianggap WO	AR																				
NCI booking	Nett Cash In booking	NCI penjualan sebuah cabang yang ada di wilayah penanganan cabang lain	AR																				
NCI handling	Nett cash in handling	NCI yang ada di dalam wilayah penanganan sebuah cabang	AR																				
NCS		kurir yang bekerja sama dengan ACC dalam proses pengiriman kontrak ke customer	Underwriting																				
Negative AAV		Kondisi dimana terdapat info negatif dari cust perihal kredit yang diajukan pada saat proses AAV Centro dilakukan	Underwriting																				
NEOP	New Employee Orientation Program	Self learning yang harus diambil dan lulus untuk para karyawan baru yang berisi tentang basic knowledge tentang perusahaan	HC LM																				
NEOP	New Employee Orientation Program 	adalah program pengenalan tentang perusahaan dan knowledge yang berhubungan dengan pekerjaan karyawan. 	HC LM	"cabang: I-Pro
HO: ABT"																			
Netloss		rugi bersih ACC	RISK MIS	LOR + WO + NCI																			
New F9PD		Account baru yang asuk pada bucket penanganan yang angsurannya masih di bawah 9 bulan	AR																				
NIK	Nomor induk karyawan	Nomor urut yang diberikan perusahaan ke karyawan	umum																				
No. Agreement	Nomor Agreement	Nomor Perjanjian Kontrak	Underwriting																				
No. Mesin	Nomor mesin	Nomor individual untuk menandakan jenis dan nomor produksi mesin	Sales																				
No. Rangka	Nomor Rangka	Nomor individual untuk rangka kendaraan	Underwriting																				
non alpha 		KPI yang menjadi tanggungjawab head tetapi yang tidak berhubungan dengan insentif	Operation																				
NON ASS	Non-Insurance	Tidak menggunakan asuransi	Service																				
NON BPR	NON Business Process Reenginering	Proses underwritting yang berlangsung secara sekuensial	Underwriting																				
Non Productivity		Parameter pengukuran performance seluruh karyawan ACC	MCS	Pengukuran melalui KPI																			
NONA	NON Astra	produk di luar astra grup	umum																				
Nota		Bukti-bukti usaha, seperti bon belanja dan kwitansi	Underwriting																				
NPAT	Net Profit After Tax	Pendapatan bersih yang diterima perusahaan setelah pengurangan pajak	Finance	PBT - Tax																			
NPF	Non Performing Finance	Kredit macet pada perusahaan pembiayaan 	AR																				
NPK	Nomor Pokok Karyawan	Nomor yang digunakan untuk membedakan satu karyawan dengan karyawan lain	HC LM																				
NPL	Non Performing Loan	Angsuran customer yang tidak terbayar tetapi harus dibayarkan oleh ACC (Kredit Macet)	Marketing Planning & Control																				
NPWP	Nomor Pokok Wajib Pajak	salah satu persyaratan valid	Underwriting																				
Ocean		Tingkat persaingan dalam mandapatkan aplikasi oleh ACC dengan perusahaan leasing lainnya yang berada pada satu wilayah tertentu	Sales																				
Ocean		Klasifikasi SO/SUW berdasarkan tingkat kompetisi di setiap Cabang	Sales	Blue, Purple, Red																			
OD	Operation dashboard	Operation dashboard	AR																				
OH	Operation Head	Jabatan cabang yang menangan Service, underwriting yang ebrtanggung jawan langsung kepada RROH	Operation																				
OJK	Otorisasi Jasa Keuangan	Lembaga negara yang berfungsi menyelenggarakan sistem pengaturan dan pengawasan yang terintegrasi terhadap keseluruhan kegiatan didalam sektor jasa keuangan	umum																				
OJT	On The Job Training	Kegiatan traning dalam suatu divisi/cabang	HC LM																				
OJTSF	On The Job Training Specific 	On The Job Training Spesifik	HC LM																				
OJTVF	On The Job Training Varius	On The Job Training Various	HC LM																				
OPEN		status kontrak jika tidak ada Surat Kuasa penarikan	AR																				
Open Legal 		Status unit inventory dalam proses litigasi internal	Litigasi																				
Operating Lease	Operating Lease	Kegiatan sewa guna usaha dimana lease pada akhir tenor tidak mempunyai hak opsi untuk membeli objek SGU.	Sales 																				
Operation Dashboard		Merupakan laporan summary pencapaian cabang setiap bulannya yang dikirimkan ke OH	umum																				
Opex	Operational expense	Merupakan budget yang di berikan ke tiap cabang setiap minggu untuk kebutuhan-kebutuhan operational.	Service																				
OPEX	Operational Expenditure	Alokasi anggaran yang untuk operasional perusahaan	Operation																				
Order Survey		permintaan untuk melakukan survey kepada surveyor	Sales, Basemaster																				
OSA	Outstanding Amount	Jumlah AR yang dikelola	AR																				
OSR	One Sheet Report	jenis report yang dikeluarkan oleh departemen risk yang menjelasikan kontribusi dealer yang pernah memasukan aplikasi ke ACC	Operation																				
OSR sales	One Sheet Report	Form approval manual yang diajukan apabila aplikasi diajukan lebih dari 5 unit dan lebih dari 1,5 M	Sales																				
OT	Otorisasi	Otorisasi	AR																				
OTJVF	On The Job Various Function	Tahap pelatihan bagi MT (Management Trainee) dengan cara menempatkan peserta ke cabang-cabang ACC Nasional dan diwajibkan untuk melakukan pemetaan (mapping) dan sebagai evaluasi akhir diwajibkan pula membuat presentasi sebagai laporan	HC LM																				
Otorisasi		Proses pemberian izin oleh BM untuk mencetak PPJF	Underwriting (SUW)																				
OTR	Off The Road	Harga beli mobil tapi tidak termassuk dokumennya	Sales																				
out		Account yang keluar dari sebuah bucket	AR																				
OV	On valid 	status dalam aplikasi yang menandakan bahwa aplikasi tersebut sedang proses untuk pembayaran(valid)	Underwriting																				
OV OP		Sudah valid dan status angsurannya open 	Underwriting																				
OVD	Overdue	Lama hari keterlambatan pembayaran angsuran terhitung sejak tanggal jatuh tempo	AR																				
OVERCAP OVERRIDE		Suatu kondisi dimana cap override suatu cabang telah habis, tetapi masih ingin di makan	Sales																				
overcaps		hak yang digunakan untuk sales memakan aplikasi dalam batas area	Sales																				
Overdue		Lewat tanggal jatuh tempo	AR																				
override		hak yang digunakan untuk sales memakan aplikasi dalam batas cabang	Sales																				
P3R01	Paket Peugeot 3008	Paket kredit ACC untuk unit type Peugeot 3008, tenor 1-4 thn dp 20%, 5 thn DP 25%	SALES																				
Pakang		Broker yang biasa beroperasi untuk kendaraan used	Sales																				
Paket Cermat		Paket Kredit khusus untuk Daihatsu Xenia atau Ayla dengan mekanisme pembayaran awal TDP yang lebih ringan (karena mendapat Subsidi DP dari Daihatsu dan ACC), namun memiliki nominal angsuran yang sedikit lebih tinggi dibandingkan Paket Reguler.	Sales																				
Paket Resolusi		Paket kredit yang disediakan ACC untuk membantu penjualan dealer dengan DP rendah	SALES																				
PAO	Problem Account Officer	Departemen yang menangani AR Fleet ovd >60	Fleet																				
Pareto		Sebutan untuk dealer yang memberikan >=75% aplikasinya kepada ACC untuk dibiayai kreditnya.	Sales																				
Payment		Pembayaran	AR																				
Payment Details		Menu di dalam AOL untuk melihat cara pembayaran customer	AR																				
Payment Schedule		Laporan pembayaran customer	AR																				
PB	Pendekar Banten	Organisasi Massa yang berlatar belakang etnis/kesukuan dengan mayoritas anggotanya warga keturunan Banten. Saat ini ketua umumnya H. Tubagus Endang S.	REMO	Ormas																			
PBP	Permata Bebas Proteksi	digunakan customer untuk pembayaran angsuran secara otomatis (Autodebet)	Underwriting																				
PBT	Profit Before tax	Pendapatan kotor perusahaan yang dihitung sebelum pajak	Finance	RACV - OPEX																			
PC	Pay current	Pembayaran hingga tidak ada tunggakan	AR																				
PDC	Pay Due Comeback 	Nilai yang dibayarkan kembali ke dealer dari ACC sebagai keuntungan tambahan dari selisih bunga	Sales	{(Rate Jual – Rate Standard) x Tenor x PH}/{1 + (Rate standard x Tenor)}																			
PDC	Post Date Cheque	Giro dengan tanggal pencairan dan nomor rekening pencairan	Service																				
PDCA	Plan Do Check Action	Merupakan siklus aktifitas yang menekankan pada perencanaan hingga monitoring serta evaluasi proses	HC LM																				
PEKAT IB	Pembela Kesatuan Tanah Air Indonesia Bersatu	Organisasi Massa yang berlatar ideologi nasionalis. Ormas ini memiliki cabang-cabang yang tersebar juga hampir di seluruh Indonesia. Saat ini diketuai oleh H. Markoni Koto.	REMO	Ormas																			
Pembatalan inventory		Proses pembatalan sistem karena unit akan ditebus	AR																				
Penalty balance		Total denda kumulatif dalam suatu periode yang belum terbayar	AR																				
Pending lelang		proses penundaan lelang karena akan ditebus lagi	AR																				
Pending tagihan		Dokumen customer yang belum dilengkapi dan menyebabkan aplikasi tidak dapat valid	Underwriting																				
Penjaga Pool	Penjaga Pool	pihak-pihak yang menjaga pool	National Remarketing																				
PEOJF	Petugas Eksekusi Objek Jaminan Fidusia	Petugas collector pihak ke3	AR																				
PEOJF	Petugas Eksekusi Objek Jaminan Fidusia	Petugas eksternal ACC yang bertugas melakukan penarikan unit,  koordinasi di bawah REMO	REMO																				
Perhitungan Pokok Hutang		jumlah hutang yang tersisa sete;ah membayarkan uang muka/DP dan ditambah dengan premi asuransi	Sales	Rumus = OTR - DP + Premi asuransi																			
Periode Sales		Waktu penjualan dalam suatu cabang dalam jangka per bulan	Sales																				
Perusahaan Afilasi	TIDAK ADA	Semua perusahaan yg berada di bawah ASTRA 	umum																				
Petir	Pemuda Teguh Indonesia Raya	Orgasnisasi Massa yang Nasionalis Pancasilais, yang diketuai oleh Aloysius Hieng.	REMO	Ormas																			
Petty Cash		Kas kecil atau petty cash adalah uang tunai yang di sediakan untuk membayar pengeluaran-pengeluaran yang jumlahnya relatif kecil dan tidak ekonimis bila dibayar dengan cek	Service																				
PG	Personal Guarantee	Pengikatan perorangan terhadap kontrak pembiayaan	Fleet																				
PH	Pokok Hutang	Nilai hutang awal yang didapatkan dari harga OTR - DP	Sales	PH = OTR - DP																			
PIC	Person in charge	Penanggung Jawab	umum																				
PICA	Problem Identification and Corrective Action		umum																				
PICA Logs	Problem Identification Corrective Action Logs	Kegiatan untuk melihat masalah yang ada dan mencari jalan keluar/ hal apa yang akan dilakukan untuk memperbaiki masalah tersebut	umum																				
Pihak ke-3	Pihak ke-3	Orang yang tidak tinggal satu rumah dengan customer, informasi dari pihak ke-3 digunakan untuk survey	Underwriting																				
Piloting		Merupakan bentuk pengujian sebagian atas suatu kebijakan baru sebelum diimplementasikan secara keseluruhan	HC LM																				
PJTKI	Perusahaan Penyedia Jasa TKI	Perusahaan yang menyediakan TKI	Operation																				
